entity,entity_type,occurrence
Hyperglycemia,DISEASE,35198:Title:0
Prognosis,DISEASE,35198:Title:0
COVID-19,DISEASE,35198:Title:0
COVID-19,DISEASE,35198:Title:0
coronavirus,ORGANISM,35198:Abstract:1
COVID-19,DISEASE,35198:Abstract:1
COVID-19,DISEASE,35198:Abstract:1
glucose,CHEMICAL,35198:Abstract:1
glucose,CHEMICAL,35198:Abstract:1
mmol/L,CHEMICAL,35198:Abstract:1
diabetes mellitus,DISEASE,35198:Abstract:1
DM,DISEASE,35198:Abstract:1
diabetes,DISEASE,35198:Abstract:1
glucose,CHEMICAL,35198:Abstract:1
Neutrophils,CELL_TYPE,35198:Abstract:1
lymphocytes,CELL_TYPE,35198:Abstract:1
DM,DISEASE,35198:Abstract:1
DM,DISEASE,35198:Abstract:1
D-dimer,PROTEIN,35198:Abstract:1
DM,DISEASE,35198:Abstract:1
glucose,CHEMICAL,35198:Abstract:1
Hyperglycemia,DISEASE,35198:Abstract:1
COVID-19,DISEASE,35198:Abstract:1
glucose,CHEMICAL,78018:Title:0
COVID-19,DISEASE,78018:Title:0
diabetes,DISEASE,78018:Title:0
Diabetes,DISEASE,78018:Abstract:1
COVID-19,DISEASE,78018:Abstract:1
infection,DISEASE,78018:Abstract:1
COVID-19,DISEASE,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
diabetes,DISEASE,78018:Abstract:1
interstitial pneumonia,DISEASE,78018:Abstract:1
coronavirus disease,DISEASE,78018:Abstract:1
coronavirus,ORGANISM,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
®,PROTEIN,78018:Abstract:1
blood,ORGAN,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
insulin infusion,PATHWAY,78018:Abstract:1
insulin,PROTEIN,78018:Abstract:1
blood,ORGAN,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
blood,ORGAN,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
blood,ORGAN,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
insulin infusion,PATHWAY,78018:Abstract:1
insulin,PROTEIN,78018:Abstract:1
glucose,CHEMICAL,78018:Abstract:1
Diabetes,DISEASE,78884:Title:0
COVID-19,DISEASE,78884:Title:0
obesity,DISEASE,78884:Abstract:1
coronavirus,ORGANISM,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
obesity,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
death,DISEASE,78884:Abstract:1
obesity,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
death,DISEASE,78884:Abstract:1
Obesity,DISEASE,78884:Abstract:1
death,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
obesity,DISEASE,78884:Abstract:1
diabetes,DISEASE,78884:Abstract:1
COVID-19,DISEASE,78884:Abstract:1
Hyperglycemia,PATHWAY,99569:Title:0
Hyperglycemia,DISEASE,99569:Title:0
COVID-19,DISEASE,99569:Title:0
diabetes,DISEASE,99569:Abstract:1
glucose,CHEMICAL,99569:Abstract:1
Coronavirus,ORGANISM,99569:Abstract:1
COVID-19,DISEASE,99569:Abstract:1
COVID-19,DISEASE,99569:Abstract:1
death,DISEASE,99569:Abstract:1
leukopenia,DISEASE,99569:Abstract:1
lymphopenia,DISEASE,99569:Abstract:1
D-dimer,PROTEIN,99569:Abstract:1
cardiac troponin,PROTEIN,99569:Abstract:1
cardiac,ORGAN,99569:Abstract:1
serum ferritin,PROTEIN,99569:Abstract:1
IL-6,PROTEIN,99569:Abstract:1
high-sensitivity C-reactive,PROTEIN,99569:Abstract:1
diabetes,DISEASE,99569:Abstract:1
diabetes,DISEASE,99569:Abstract:1
IL-6,PROTEIN,99569:Abstract:1
D-dimer,PROTEIN,99569:Abstract:1
