Id;Label;Degree;PageRank;Betweenness;Community
1;2-oxoglutarate;51;0.0005274685797063852;2.8822997043512598e-05;0
2;3-methylcytosine;51;0.0005274685797063852;2.8822997043512598e-05;0
3;animals;788;0.004870618181844482;0.0007498781448014697;1
4;archaea;66;0.0006537623412383197;0.0003940230692590198;0
5;bacteria;667;0.004407507043053038;0.0004311799332608451;1
6;bacterium;133;0.001148430116362145;0.002300580345629585;1
7;bamboo mosaic virus;51;0.0005274685797063852;2.8822997043512598e-05;0
8;biotopes;66;0.0006537623412383197;0.0003940230692590198;0
9;campestris;51;0.0005274685797063852;2.8822997043512598e-05;0
10;carlavirus;51;0.0005274685797063852;2.8822997043512598e-05;0
11;citrus;51;0.0005274685797063852;2.8822997043512598e-05;0
12;closteroviridae;51;0.0005274685797063852;2.8822997043512598e-05;0
13;co2;218;0.001516566425856615;0.005819478125769689;2
14;compounds;113;0.0009733042525325775;0.002691206854157745;1
15;cysteine;203;0.0013700394582270656;0.008789530464467194;3
16;cytosine;132;0.0010270439772875031;0.006674283687844647;4
17;dna;688;0.00484211736883708;1.2497969080024495e-05;0
18;drosophila;131;0.0010637652560108578;0.0013765809241283622;0
19;e coli;265;0.0018157290068420223;0.0022332800948150883;3
20;escherichia coli;419;0.0029594756174735593;0.0003774386662167398;0
21;eukaryotes;131;0.001063765256010858;0.0013765809241283622;0
22;fe2+;51;0.000527468579706385;2.8822997043512598e-05;0
23;formaldehyde;250;0.001949058668760901;0.00868307098294726;4
24;fungi;339;0.0023689560666357427;0.0012173021883943858;3
25;genomes;199;0.0014833285329975859;0.0009710921975179033;0
26;grapevine;51;0.0005274685797063851;2.8822997043512598e-05;0
27;gtp;78;0.0007217482718479362;0.0010983438990156893;0
28;host;636;0.004187693529846439;0.00032744678989664176;3
29;hosts;141;0.001162219298151917;0.0014475729174102505;1
30;human;1283;0.00834218506882441;0.0;1
31;humans;988;0.006256863470462148;7.248822066414207e-05;0
32;influenza virus;315;0.0022444144429754334;0.006883881369277492;3
33;ion;131;0.0010637652560108578;0.0013765809241283622;0
34;mosaic virus;288;0.0022228679847037225;0.0031982302875782683;4
35;mrna;464;0.0033427263817389454;0.0005574094209690925;0
36;nematodes;131;0.0010637652560108578;0.0013765809241283622;0
37;nucleotides;443;0.0032188479707339654;0.00013122867534025718;0
38;organisms;466;0.003325133161237027;0.00026245735068051437;0
39;oxygen;628;0.00394451963222472;0.001629735168035194;5
40;pathogen;164;0.0012195030718764519;0.004407262965622229;6
41;pesticides;51;0.0005274685797063849;2.8822997043512598e-05;0
42;plant virus;51;0.000527468579706385;2.8822997043512598e-05;0
43;plant viruses;51;0.0005274685797063849;2.8822997043512598e-05;0
44;plants;135;0.0011867386687769048;0.002333997335583493;0
45;potato virus;90;0.0008702643170706184;0.0023792955458103973;0
46;rna;481;0.0034759214578102492;5.7490657768112676e-05;0
47;sars virus;55;0.0005899875006633043;0.0008075509519024958;0
48;strand;107;0.0010023036981592077;0.0010622107240906686;0
49;viral;807;0.0053754925878789625;0.00015997400422431354;4
50;viral genomes;79;0.0007161400519170529;0.0012203929802069263;0
51;virus;1020;0.006807625379097225;4.749228250409308e-05;1
52;viruses;663;0.0048480939003436455;8.248659592816167e-05;0
53;2c cells;53;0.00054970721451141;1.8178276344679427e-05;7
54;4c cells;53;0.00054970721451141;1.8178276344679427e-05;7
55;9-o-acetylation;53;0.0005497072145114099;1.8178276344679427e-05;7
56;agarose;308;0.0023478721208016096;0.0018318464215604652;4
57;amino acids;496;0.003190233501777001;0.0073760930515457904;3
58;bxpc-3 cells;53;0.0005497072145114099;1.8178276344679427e-05;7
59;colon;122;0.0010574460160464813;0.0007759050063217718;7
60;enzymes;263;0.001960012573457416;0.007142589329233999;4
61;germ cell;53;0.0005497072145114099;1.8178276344679427e-05;7
62;germ cells;53;0.0005497072145114099;1.8178276344679427e-05;7
63;gfp;53;0.0005497072145114099;1.8178276344679427e-05;7
64;gfp protein;53;0.0005497072145114099;1.8178276344679427e-05;7
65;glycoconjugates;205;0.0013922294660023112;0.0014443638491526618;3
66;glycoproteins;205;0.0013922294660023112;0.0014443638491526618;3
67;green fluorescent protein;203;0.0015476056853291782;0.0046176044400031415;8
68;h-lse;53;0.0005497072145114099;1.8178276344679427e-05;7
69;hepes;80;0.0007439345487278193;0.0015165308518165872;7
70;host cells;205;0.0013922294660023112;0.0014443638491526618;3
71;influenza;331;0.0022127777502526204;0.0039881019334358165;3
72;invertebrates;133;0.0010859522450719214;0.0030403564519071204;0
73;lectin;205;0.0013922294660023112;0.0014443638491526618;3
74;leydig cells;53;0.0005497072145114099;1.8178276344679427e-05;7
75;lse;53;0.0005497072145114099;1.8178276344679427e-05;7
76;lysosomes;53;0.0005497072145114099;1.8178276344679427e-05;7
77;mammals;321;0.0022149531367498788;0.003478051483300627;3
78;mice;770;0.004706840835956929;0.0012488172137229176;5
79;mouse;766;0.004791167095640705;0.001619883289112037;7
80;oligosaccharide;205;0.0013922294660023112;0.0014443638491526618;3
81;organs;162;0.001283103578404524;0.0010231489556860054;7
82;pancreas;112;0.0009635946883787124;0.0038491654208655125;7
83;pcr products;138;0.001052469482318593;0.005872506235854656;6
84;primary spermatocytes;53;0.0005497072145114099;1.8178276344679427e-05;7
85;prostate;63;0.0006425126846407896;0.0009304612010267537;7
86;red blood cells;103;0.00088725326754766;0.004262796809135146;7
87;sertoli cells;53;0.0005497072145114099;1.8178276344679427e-05;7
88;sialic acid;205;0.0013922294660023112;0.0014443638491526618;3
89;sialic acids;53;0.0005497072145114099;1.8178276344679427e-05;7
90;sialic-acid-specific 9-o-acetylesterase;53;0.0005497072145114099;1.8178276344679427e-05;7
91;sialoglycoconjugates;53;0.0005497072145114099;1.8178276344679427e-05;7
92;spermatogenic cells;53;0.0005497072145114099;1.8178276344679427e-05;7
93;spermatogonia;53;0.0005497072145114099;1.8178276344679427e-05;7
94;sugars;205;0.0013922294660023112;0.0014443638491526618;3
95;testicular;53;0.0005497072145114099;1.8178276344679427e-05;7
96;testis;53;0.0005497072145114099;1.8178276344679427e-05;7
97;trypsin;181;0.0014621327905787493;0.005862552562951793;8
98;tumor;577;0.0035417772882084396;0.0071050954219939256;5
99;vertebrates;133;0.0010859522450719211;0.0030403564519071204;0
100;16,20;86;0.0006549711729890884;1.5915354871687496e-05;2
101;3-nitrotyrosine;86;0.0006549711729890884;1.5915354871687496e-05;2
102;acute respiratory distress syndrome;709;0.004362359618888123;0.00023121242798045317;5
103;airways;511;0.002959302035180985;0.00245689837306199;5
104;animal;778;0.004691759034329651;0.0005984406321851486;5
105;antioxidants;321;0.0019516557464720034;0.002110692149610824;5
106;ards;729;0.004508459285110671;5.249147013610288e-05;5
107;asthma;663;0.00399094108949877;0.0008473623036256608;5
108;asthmatic;359;0.0021186943693665035;0.0008539723406057654;5
109;bacterial;799;0.005051327001028618;0.0006323972354492395;8
110;bronchiectasis;373;0.0022455023780798356;0.0007301038959956886;5
111;cellular proteins;187;0.0013186226581297874;0.010495483094948932;4
112;cgmp;236;0.0014498047596910092;0.0008685402162983784;5
113;chemical;106;0.000790962229257613;0.001531307816623908;2
114;cyclo-oxygenase;209;0.0013241695525312593;0.0020818866958749837;5
115;cysteine residues;238;0.0014960076497374613;0.0022099765405145305;3
116;cystic fibrosis;440;0.002617528532145501;0.002263507180083231;5
117;cytokines;623;0.0037434139927350557;0.0029356005511173397;5
118;endotoxemia;236;0.0014498047596910092;0.0008685402162983784;5
119;endotoxin;388;0.002290443663025767;0.0013918112715601183;3
120;enzyme;459;0.002930129419991081;0.009961506255233524;5
121;eosinophil peroxidase;86;0.0006549711729890883;1.5915354871687496e-05;2
122;eosinophils;171;0.0011568543930677777;0.003324928080022586;6
123;epithelial cells;473;0.0027923364124019527;0.0019118678928959755;3
124;heme peroxidases;86;0.0006549711729890884;1.5915354871687496e-05;2
125;human disease;262;0.0017386100144445432;0.003431619182611115;3
126;human diseases;236;0.0014498047596910092;0.0008685402162983784;5
127;inflammation;663;0.003940495308074418;0.0005599090147850973;5
128;inflammatory diseases;86;0.0006549711729890884;1.5915354871687496e-05;2
129;inflammatory lung diseases;359;0.0021186943693665035;0.0008539723406057654;5
130;inflammatory-immune cells;86;0.0006549711729890884;1.5915354871687496e-05;2
131;iron;286;0.0017876850654882082;0.002339209111119747;5
132;lung;863;0.005234273946217569;5.7490657768112676e-05;5
133;lung disease;209;0.0013241695525312593;0.0020818866958749837;5
134;lung diseases;236;0.0014498047596910092;0.0008685402162983784;5
135;lung injury;630;0.0036851622649248417;0.00130103858123055;5
136;macrophages;388;0.002290443663025767;0.0013918112715601183;3
137;mast cells;268;0.0017381013867925998;0.0031829876957574703;5
138;metals;236;0.0014498047596910092;0.0008685402162983784;5
139;molecules;449;0.0029439480267523035;0.006099758789196755;3
140;neutrophils;596;0.003461222007648248;0.0016609800907352549;5
141;nitric oxide;359;0.0021186943693665035;0.0008539723406057654;5
142;nitro adducts;86;0.0006549711729890884;1.5915354871687496e-05;2
143;nitroso;86;0.0006549711729890884;1.5915354871687496e-05;2
144;nitrotyrosine;86;0.0006549711729890884;1.5915354871687496e-05;2
145;no2-;86;0.0006549711729890884;1.5915354871687496e-05;2
146;nos;86;0.0006549711729890884;1.5915354871687496e-05;2
147;nos isoenzymes;86;0.0006549711729890884;1.5915354871687496e-05;2
148;nos isoforms;86;0.0006549711729890884;1.5915354871687496e-05;2
149;nos-1;86;0.0006549711729890884;1.5915354871687496e-05;2
150;nos-2;86;0.0006549711729890884;1.5915354871687496e-05;2
151;no•;86;0.0006549711729890884;1.5915354871687496e-05;2
152;no•-derived;86;0.0006549711729890884;1.5915354871687496e-05;2
153;obliterative bronchiolitis;236;0.0014498047596910092;0.0008685402162983784;5
154;onoo-;86;0.0006549711729890884;1.5915354871687496e-05;2
155;oxidant;359;0.0021186943693665035;0.0008539723406057654;5
156;oxidants;236;0.0014498047596910092;0.0008685402162983784;5
157;oxide;388;0.002290443663025767;0.0013918112715601183;3
158;ph;354;0.0025253442764601904;0.0006173996725532101;4
159;phagocyte;238;0.0014960076497374615;0.0022099765405145305;3
160;phagocyte peroxidases;86;0.0006549711729890885;1.5915354871687496e-05;2
161;phagocytic cells;238;0.0014960076497374615;0.0022099765405145305;3
162;pro-inflammatory;86;0.0006549711729890885;1.5915354871687496e-05;2
163;pro-inflammatory cytokines;86;0.0006549711729890885;1.5915354871687496e-05;2
164;rat;658;0.004077026815347059;0.0012048042193143612;7
165;respiratory disease;106;0.0008002360377314068;0.003235903347715688;2
166;respiratory infections;217;0.0014479137079339661;0.0005724069838651219;6
167;respiratory tract diseases;86;0.0006549711729890885;1.5915354871687496e-05;2
168;rns;86;0.0006549711729890885;1.5915354871687496e-05;2
169;septic shock;136;0.0009924143465570461;0.0032717474284726863;2
170;tract;198;0.0014200691762458202;0.003150618976797223;8
171;transcription factors;454;0.0028996109047432946;0.008132428480371939;4
172;tyrosine;153;0.0011201299204828283;0.005131744370735571;4
173;tyrosine residues;238;0.0014960076497374615;0.0022099765405145305;3
174;35s methionine;67;0.0006305413847621348;1.305664345268328e-05;4
175;acetic acid;148;0.0011295764475158108;0.0017286876654122466;4
176;alzheimer’s disease;67;0.0006305413847621348;1.305664345268328e-05;4
177;amino acid;371;0.0024996081521367138;0.002143257489888662;4
178;ampicillin;148;0.0011295764475158108;0.0017286876654122466;4
179;anti-myc;136;0.001128941240468023;0.0027043194934721062;8
180;atp;67;0.0006305413847621348;1.305664345268328e-05;4
181;bound proteins;67;0.0006305413847621348;1.305664345268328e-05;4
182;bovine;463;0.0030803811054193587;0.001753048462958103;4
183;bovine serum albumin;168;0.001294606239878899;0.002582206056098245;4
184;brain;229;0.001567665287188766;0.006447612669813981;3
185;cat;168;0.001294606239878899;0.002582206056098245;4
186;cellular protein;168;0.001294606239878899;0.002582206056098245;4
187;dtt;295;0.0021612947927300715;0.000976091385149913;4
188;e1;217;0.0014261748601488635;0.002823271309787751;5
189;e2;217;0.0014261748601488633;0.002823271309787751;5
190;e3;67;0.0006305413847621346;1.305664345268328e-05;4
191;glucose;319;0.002177936083851926;0.0029095272018297026;3
192;heat shock;217;0.0014261748601488633;0.002823271309787751;5
193;hek cells;67;0.0006305413847621346;1.305664345268328e-05;4
194;hsp70;67;0.0006305413847621346;1.305664345268328e-05;4
195;k48;67;0.0006305413847621346;1.305664345268328e-05;4
196;k63;67;0.0006305413847621346;1.305664345268328e-05;4
197;lysine;147;0.0011663623294162159;0.0032996884842666353;0
198;mammalian;147;0.0011663623294162159;0.0032996884842666353;0
