Id;Label;Degree;PageRank;Betweenness;Community
1;ace inhibitor;47;0.004152276531135213;0.00020678246484698098;0
2;acute lung injury;133;0.009831154291497491;0.015260545905707195;1
3;angioedema;23;0.0027259077901870877;0.006685966363385719;0
4;angiotensin ii receptor antagonist;87;0.006901048139970112;0.009015715467328371;2
5;angiotensin-1;77;0.006058104170169254;0.003143093465674111;1
6;angiotensin-converting enzyme;13;0.002011895502561493;0.004590570719602977;0
7;angiotensin-converting enzyme 2;366;0.026325176310331457;0.0030603804797353184;3
8;animal;53;0.004522739877564707;0.006617038875103391;0
9;blood;174;0.013341160433440438;0.01033912324234905;4
10;c-reactive protein;35;0.003424582425971574;0.0070168183071408876;4
11;covid-19;967;0.068868877253511;0.0;5
12;diabetes mellitus;740;0.05261044777716648;0.01282051282051282;4
13;dipeptidyl peptidase 4;280;0.021188099765978272;0.01108354011579818;0
14;dpp4i;110;0.008712928986100365;0.003515301902398677;0
15;glucose;277;0.020733694946175912;0.007444168734491315;4
16;glyburide;181;0.013782920608363908;0.0032258064516129032;0
17;hiv entry inhibitor;61;0.004975687491292741;0.010794044665012407;3
18;human;195;0.014263296862440005;0.004549214226633581;3
19;hypertension;168;0.012720254328082915;0.004549214226633581;5
20;inflammation;172;0.012934465775710108;0.0037220843672456576;1
21;interleukin 1 beta measurement;81;0.0066188425976587695;0.007899090157154674;1
22;interleukin-19;60;0.005171570900223626;0.022125723738626958;1
23;interleukin-6;216;0.01603036399796699;0.013316790736145575;1
24;lung;279;0.01987381005790566;0.004466501240694789;3
25;mouse;149;0.011037018339155866;0.008064516129032258;3
26;nephropathy;14;0.0019913220769341416;0.004962779156327543;2
27;plasma;59;0.004965225521734377;0.009966914805624482;4
28;pneumonia;131;0.010454941442545274;0.012572373862696443;5
29;sars coronavirus;227;0.016398781789883746;0.0037220843672456576;3
30;sars-cov-2;462;0.03328238893095882;0.003143093465674111;3
31;vascular;130;0.00977713561838805;0.0028949545078577337;1
32;virus;214;0.015546854534239637;0.005789909015715467;3
33;acetaminophen;7;0.001490768481356692;0.0;5
34;ibuprofen;24;0.003063555482489925;0.020168183071408878;5
35;insulin;120;0.00966205425276399;0.007113316790736146;2
36;acute respiratory distress syndrome;153;0.011581254153233125;0.014640198511166254;5
37;angiotensin-2;19;0.0023386380473622947;0.014006065618968843;1
38;apoptosis;20;0.0023211989679491505;0.0027564102564102567;1
39;c-c motif chemokine 1;48;0.0041848076779834095;0.0071960297766749375;1
40;cardiac failure;18;0.0022555701996492534;0.0015536255858836503;4
41;cardiovascular disorder;109;0.008509782899284137;0.014061207609594707;5
42;cardiovascular system;119;0.009223185287290903;0.004962779156327543;5
43;chemokine;45;0.0043810225831344045;0.02673007995588641;0
44;coronavirus;247;0.017998706825013023;0.006947890818858561;4
45;cytokine;153;0.01152206528716155;0.004425144747725393;1
46;death;201;0.014754391700088661;0.004631927212572374;4
47;dna replication;69;0.005673008883060108;0.010835401157981803;1
48;heart;114;0.009006962915187863;0.016604631927212572;4
49;heart failure;18;0.0022555701996492534;0.0015536255858836503;4
50;host cell;60;0.004906020444934951;0.002522746071133168;3
51;infectious disorder;203;0.01488443419850442;0.0012406947890818859;2
52;lower respiratory tract infection;44;0.004216740001311315;0.014846980976013235;5
53;lymphocyte;55;0.004742985337410966;0.007954232147780535;4
54;macrophage;44;0.0039716291319247445;0.008395368072787427;3
55;middle east respiratory syndrome coronavirus;188;0.013541235306101096;0.005045492142266336;3
56;neoplasm;28;0.0029230479942244686;0.008353322304935209;1
57;neutrophil;66;0.005491531442697768;0.00883650399779432;4
58;obesity;101;0.008070153811461752;0.008023159636062862;5
59;pulmonary;142;0.010819840069230598;0.0347808105872622;1
60;receptor binding;13;0.0018097196048600427;0.00260545905707196;3
61;serum;29;0.0028953233542648674;0.0145023435346016;4
62;survival;40;0.003646481192971712;0.004466501240694789;2
63;tumor necrosis factor;60;0.005236379762526666;0.016804521643231318;1
64;viral;227;0.016688726036673575;0.012241521918941274;1
65;adenosine;24;0.002612721821220456;0.009376895505927763;1
66;chest pain;23;0.002781690555601985;0.005944995864350703;5
67;comorbidity;19;0.0021591220096375805;8.271298593879239e-05;5
68;coronaviridae;65;0.005318006156275954;0.010173697270471464;3
69;cough;53;0.005162034184228832;0.02803970223325062;5
70;d-dimer measurement;91;0.007463807406192304;0.023738626964433417;4
71;diarrhea, ctcae;38;0.004185162225773436;0.005707196029776675;5
72;dyspnea;23;0.002880626170105238;0.0022573752412462086;5
73;fatigue;23;0.002880626170105238;0.0022573752412462086;5
74;fever;41;0.0042745411303385245;0.004962779156327543;5
75;headache;25;0.0031612815443124265;0.016297904604356223;5
76;high sensitivity c-reactive protein measurement;55;0.004849123847263991;0.013289219740832641;4
77;humoral immunity;20;0.0023490067932553133;0.007223600771987869;3
78;hyperglycemia;115;0.009207560949382044;0.01588089330024814;4
79;immune response process;36;0.003397761415704126;0.0013234077750206782;0
80;lymphopenia;55;0.004985417206345006;0.038916459884201816;5
81;middle east respiratory syndrome;67;0.005470507117314064;0.005500413564929694;3
82;multi-organ dysfunction;24;0.002808867335139344;0.006792803970223326;5
83;muscle;15;0.002102206298939501;0.002564102564102564;5
84;oral cavity;64;0.005437862911361779;0.010752688172043012;2
85;person;48;0.0041543244267743164;0.006038047973531845;4
86;proliferation;84;0.006755685958036231;0.00380479735318445;1
87;rbd;21;0.0024117966400961505;0.00380479735318445;3
88;respiratory failure;23;0.0027913420864585908;0.006406810035842295;5
89;serum ferritin;59;0.005118147049787116;0.016101461262751585;4
90;severe acute respiratory syndrome;30;0.002855025169643614;0.004383788254755997;3
91;shortness of breath visual analogue scale;22;0.002662463216658412;0.00041356492969396195;5
92;therapeutic corticosteroid;30;0.0030464464666974255;0.011248966087675765;4
93;viral infection;60;0.00498744233019369;0.006286186931348222;3
94;cellular secretion;49;0.004419266589966795;0.01368899917287014;0
95;glycosylated hemoglobin measurement;27;0.002903914882137163;0.01621174524400331;3
96;insulin resistance;71;0.0058045317005951495;0.014185277088502896;1
97;t-lymphocyte;60;0.005552954312536106;0.029404466501240695;0
98;adipose tissue;28;0.0028757636507491676;0.006782464846980976;0
