Id;Label;Degree;PageRank;Betweenness;Community
1;national geospatial data asset;16742;0.0072103030275977135;0.0003470404272007478;3
2;ocean optics;3376;0.0014877152558316774;6.218643493192591e-05;3
3;bathymetry/seafloor topography;65;0.00018252305956208267;3.209622448099402e-05;3
4;terrestrial ecosystems;1456;0.0008820506590593945;0.0012838489792397609;3
5;ecological dynamics;1681;0.0009542997856948288;4.413230866136678e-05;3
6;soils;3987;0.001954767792611994;0.00040120280601242523;3
7;land surface;12152;0.005722045408820857;0.0014162459052238612;3
8;biosphere;7057;0.0035234923810948484;0.00022467357136695814;3
9;ngda;16742;0.0072103030275977135;0.0003470404272007478;3
10;biological classification;214;0.00035089763923243784;0.0164513210605395;3
11;surface water;2679;0.0014147809662073063;0.0005516538582670847;3
12;agriculture;2459;0.0015613443175898946;0.019251716646506226;3
13;oceans;9404;0.0043300865633238705;0.0037372041380057414;3
14;geomorphic landforms/processes;1643;0.0009373736363999398;0.0001825472767356535;3
15;erosion/sedimentation;1555;0.000908037600874177;0.0017171480097331801;3
16;ocean winds;2088;0.0011052235133154748;0.000555665886327209;3
17;aquatic ecosystems;68;0.00018616281595428073;0.0010070190430911874;3
18;forest science;1512;0.0009019648634567419;0.00018655930479577774;3
19;ocean chemistry;2680;0.0012010649223322004;0.0;3
20;human dimensions;1768;0.0015481039799404295;0.008882630125115094;3
21;plants;37;0.00018484331222609504;0.0001464390241945352;3
22;coastal processes;1218;0.0007304852340918229;0.0015406187750877129;3
23;salinity/density;2718;0.001235118814833754;1.8054126270559137e-05;3
24;sea ice;2206;0.0012650972394704799;0.007496474430342166;3
25;climate indicators;495;0.0005351548768497695;0.005578725017602773;3
26;earth science;37219;0.019588058944915162;0.0005255756758762771;3
27;ocean circulation;129;0.00021331515972577392;0.0020340982264829962;3
28;atmospheric/ocean indicators;115;0.00021509378788213654;9.428265941291994e-05;3
29;vegetation;4684;0.0023064161702361203;0.0003009021045093189;3
30;ecosystems;1430;0.0008494110129867905;2.206615433068339e-05;3
31;ocean temperature;4914;0.002147029567998545;0.00039518476392223886;3
32;environmental impacts;347;0.00040275192559888575;0.00024874573972770366;3
33;land use/land cover;3971;0.0020017334711487323;0.0009628867344298206;3
34;ocean waves;1091;0.0006777681087219841;0.0018515509497473426;3
