entity,aggregated_entities,raw_entity_types,paragraph,paper,section,uid,definition,semantic_type,taxonomy,paper_frequency,entity_type,entity_type_label
ace inhibitor,"['acei', 'acei', 'acei', 'acei', 'acei', 'acei']","['PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:34', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4:60', '197804:Caption:72', '197804:Caption:71', '184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:33', '184360:Caption:68', '184360:Conclusion:62', '197804:Management Of Children And Young People With Diabetes Mellitus That Were Covid-19 Positive:28', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58'}","{'184360', '197804'}","{'184360:Caption', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4', '197804:Management Of Children And Young People With Diabetes Mellitus That Were Covid-19 Positive', '184360:Conclusion', '184360:Aceis And Arbs ', '197804:Caption'}",http://purl.obolibrary.org/obo/NCIT_C247,"Any substance that inhibits angiotensin-converting enzyme (ACE), an enzyme that catalyzes the conversion of angiotensin I to angiotensin II. Inhibition of ACE results in a reduction in angiotensin II and angiotensin II-induced aldosterone secretion, causing vasodilation and natriuresis.",Chemical Viewed Functionally,"[('http://purl.obolibrary.org/obo/NCIT_C270', 'Antihypertensive Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78274', 'Agent Affecting Cardiovascular System'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', ''), ('http://purl.obolibrary.org/obo/NCIT_C783', 'Protease Inhibitor'), ('http://purl.obolibrary.org/obo/NCIT_C471', 'Enzyme Inhibitor')]",2,DRUG,DRUG
acetaminophen,"['acetaminophen', 'acetaminophen', 'paracetamol', 'paracetamol']","['CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG']","{'197804:Discussion:52', '197804:Management Of Children And Young People With Diabetes Mellitus That Were Covid-19 Positive:26', '197804:Discussion:51', '179426:Blood Glucose Monitoring ::: Special Aspects Of Management Of Diabetes With Covid-19:19'}","{'179426', '197804'}","{'197804:Discussion', '197804:Management Of Children And Young People With Diabetes Mellitus That Were Covid-19 Positive', '179426:Blood Glucose Monitoring '}",http://purl.obolibrary.org/obo/NCIT_C198,"A p-aminophenol derivative with analgesic and antipyretic activities. Although the exact mechanism through which acetaminophen exert its effects has yet to be fully determined, acetaminophen may inhibit the nitric oxide (NO) pathway mediated by a variety of neurotransmitter receptors including N-methyl-D-aspartate (NMDA) and substance P, resulting in elevation of the pain threshold. The antipyretic activity may result from inhibition of prostaglandin synthesis and release in the central nervous system (CNS) and prostaglandin-mediated effects on the heat-regulating center in the anterior hypothalamus.",Pharmacologic Substance,"[('http://purl.obolibrary.org/obo/NCIT_C2356', 'Analgesic and Antipyretic'), ('http://purl.obolibrary.org/obo/NCIT_C2198', 'Nonnarcotic Analgesic'), ('http://purl.obolibrary.org/obo/NCIT_C241', 'Analgesic Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78272', 'Agent Affecting Nervous System'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DRUG,DRUG
acute lung injury,"['ali', 'ali', 'lung injury', 'lung injury', 'lung injury', 'lung injury']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'184360:Rhace2 As Decoy Factor ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:38', '214924:Diabetes Mellitus And Covid-19: In The Eye Of The “Cytokine Storm” ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:20', '184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:33', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:6', '184360:Caption:71', '179426:Role Of Ace/Arbs ::: Special Aspects Of Management Of Diabetes With Covid-19:20', '197804:Discussion:53', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:13', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ::: Covid-19 Pathogenesis:11', '184360:Ang-(1-7) Analogues ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:35', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:9'}","{'179426', '184360', '214924', '197804'}","{'197804:Discussion', '184360:Caption', '184360:Rhace2 As Decoy Factor ', '184360:Ang-(1-7) Analogues ', '184360:Pathophysiology Of Covid-19', '179426:Role Of Ace/Arbs ', '184360:Aceis And Arbs ', '214924:The Immune Response To Sars-Cov-2 ', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ', '214924:Diabetes Mellitus And Covid-19'}",http://purl.obolibrary.org/obo/NCIT_C155766,"A finding of acute onset of bilateral pulmonary infiltrates by chest radiograph and a PaO2/FiO2 of less than or equal to 300, in the absence of heart failure. The infiltrate may be rich in neutrophils. This syndrome represents a spectrum of pulmonary lesions, endothelial and epithelial, due to numerous factors (physical, chemical, or biological).",Finding,"[('http://purl.obolibrary.org/obo/NCIT_C45233', 'Respiratory System Finding'), ('http://purl.obolibrary.org/obo/NCIT_C36278', 'Finding by Site or System'), ('http://purl.obolibrary.org/obo/NCIT_C3367', 'Finding'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",4,DISEASE,DISEASE
acute respiratory distress syndrome,"['acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'acute respiratory distress syndrome', 'ards', 'ards', 'ards']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'197804:Introduction:2', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:8', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:10', '211125:Introduction:3', '179426:Morbidity And Mortality In Diabetic Cohorts With Covid-19:8', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:14', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:6', '129074:Abstract:1', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:31', '214924:Introduction:4', '211125:Discussion:23', '184360:Caption:71', '211125:Introduction:6', '184360:Pathophysiology Of Covid-19: Pulmonar And Cardiovascular Complications ::: Introduction:13', '211125:Discussion:27', '214924:Introduction:6', '184360:Ang-(1-7) Analogues ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:35'}","{'184360', '129074', '197804', '214924', '179426', '211125'}","{'214924:Introduction', '197804:Introduction', '184360:Caption', '179426:Morbidity And Mortality In Diabetic Cohorts With Covid-19', '184360:Pathophysiology Of Covid-19', '184360:Ang-(1-7) Analogues ', '214924:The Immune Response To Sars-Cov-2 ', '211125:Introduction', '211125:Discussion', '129074:Abstract', '184360:Cardiovascular Effects Of Sdpp4 Upregulation '}",http://purl.obolibrary.org/obo/NCIT_C3353,"Progressive and life-threatening pulmonary distress in the absence of an underlying pulmonary condition, usually following major trauma or surgery. Cases of neonatal respiratory distress syndrome are not included in this definition.",Disease or Syndrome,"[('http://purl.obolibrary.org/obo/NCIT_C28193', 'Syndrome'), ('http://purl.obolibrary.org/obo/NCIT_C2991', 'Disease or Disorder'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",6,DISEASE,DISEASE
adenosine,"['adenosine', 'adenosine', 'adenosine']","['CHEMICAL', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG', 'CHEMICAL', 'DRUG', 'DRUG']","{'184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:25', '214924:The Immune Response To Sars-Cov-2 ::: Covid-19 Pathogenesis:10'}","{'184360', '214924'}","{'214924:The Immune Response To Sars-Cov-2 ', '184360:Cardiovascular Effects Of Sdpp4 Upregulation '}",http://purl.obolibrary.org/obo/NCIT_C207,"A ribonucleoside comprised of adenine bound to ribose, with vasodilatory, antiarrhythmic and analgesic activities. Phosphorylated forms of adenosine play roles in cellular energy transfer, signal transduction and the synthesis of RNA.","Nucleic Acid, Nucleoside, or Nucleotide","[('http://purl.obolibrary.org/obo/NCIT_C707', 'Nucleoside'), ('http://purl.obolibrary.org/obo/NCIT_C708', 'Nucleic Acids, Nucleosides, and Nucleotides'), ('http://purl.obolibrary.org/obo/NCIT_C718', 'Organic Chemical'), ('http://purl.obolibrary.org/obo/NCIT_C1913', 'Drug or Chemical by Structure'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,CHEMICAL,CHEMICAL
adipose tissue,"['adipose tissue', 'adipose tissue', 'adipose tissue']","['ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN', 'ORGAN']","{'197804:Discussion:42', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:18', '184360:Cardiovascular Effects Of Sdpp4 Upregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:26'}","{'184360', '214924', '197804'}","{'197804:Discussion', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '184360:Cardiovascular Effects Of Sdpp4 Upregulation '}",http://purl.obolibrary.org/obo/NCIT_C12472,"A specialized form of connective tissue consisting primarily of adipocytes (fat cells), surrounded by a meshwork of collagen fibers.",Tissue,"[('http://purl.obolibrary.org/obo/NCIT_C12471', 'Soft Tissue'), ('http://purl.obolibrary.org/obo/NCIT_C12964', 'Connective and Soft Tissue'), ('http://purl.obolibrary.org/obo/NCIT_C12801', 'Tissue'), ('http://purl.obolibrary.org/obo/NCIT_C12219', 'Anatomic Structure, System, or Substance'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,ORGAN,ORGAN
angioedema,"['angioedema', 'angioedema']","['DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE', 'DISEASE']","{'184360:Gliptins ::: Therapeutic Potential Of Targeting Dpp4 In Diabetic Patients With Covid-19:51', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:15', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4:58'}","{'179426', '184360'}","{'184360:Combined Therapeutic Potential Targeting Raas And Dpp4', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '184360:Gliptins '}",http://purl.obolibrary.org/obo/NCIT_C112175,Rapid swelling of the deep layers of the skin due to transient vascular leakage of serous fluid.,Finding,"[('http://purl.obolibrary.org/obo/NCIT_C36281', 'Integumentary System Finding'), ('http://purl.obolibrary.org/obo/NCIT_C36278', 'Finding by Site or System'), ('http://purl.obolibrary.org/obo/NCIT_C3367', 'Finding'), ('http://purl.obolibrary.org/obo/NCIT_C7057', 'Disease, Disorder or Finding'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,DISEASE,DISEASE
angiotensin ii receptor antagonist,"['arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arb', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs', 'arbs']","['DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'DRUG', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'DRUG', 'PROTEIN', 'DRUG', 'PROTEIN']","{'184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:34', '184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:33', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:15', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:16', '184360:Caption:68', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:14', '179426:Role Of Ace/Arbs ::: Special Aspects Of Management Of Diabetes With Covid-19:20', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4:59', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ::: Elucidating The Crosstalk Between Covid-19 And Diabetes Mellitus:17', '184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:32'}","{'179426', '184360', '214924'}","{'184360:Caption', '179426:Role Of Ace/Arbs ', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4', '214924:Angiotensin-Converting Enzyme 2 Expression In Diabetes Mellitus And Its Role In Covid-19 Infectivity ', '184360:Aceis And Arbs '}",http://purl.obolibrary.org/obo/NCIT_C66930,"A class of agents that act by selectively inhibiting angiotensin II receptor activation in the renin-angiotensin-aldosterone system. Angiotensin II receptor antagonists bind to and block the activation of angiotensin II type 1 (AT1) receptors, thereby reducing production and secretion of aldosterone, amongst other actions. The combined effects result in reduction of blood pressure. Although this class of agents is also used in diabetic nephropathy (kidney damage due to diabetes) and congestive heart failure, it is primarily used for the treatment of hypertension in cases where the patient is intolerant of ACE inhibitor therapy.",Chemical Viewed Functionally,"[('http://purl.obolibrary.org/obo/NCIT_C270', 'Antihypertensive Agent'), ('http://purl.obolibrary.org/obo/NCIT_C78274', 'Agent Affecting Cardiovascular System'), ('http://purl.obolibrary.org/obo/NCIT_C1909', 'Pharmacologic Substance'), ('http://purl.obolibrary.org/obo/NCIT_C1908', 'Drug, Food, Chemical or Biomedical Material'), ('http://www.w3.org/2002/07/owl#Thing', '')]",3,DRUG,DRUG
angiotensin-1,"['ang ii', 'ang ii', 'ang ii', 'ang ii', 'angiotensin', 'angiotensin', 'angiotensin']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'184360:Rhace2 As Decoy Factor ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:38', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4:57', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:20', '184360:Aceis And Arbs ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:33', '184360:Ang-(1-7) Analogues ::: Therapeutic Potential Of Raas-Targeted Drugs In Diabetic Patients With Covid-19:36', '184360:Abstract:1', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:21', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ::: Covid-19 Pathogenesis:11', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation ::: Raas And Sdpp4 In Diabetes And Other Comorbidities:22'}","{'184360', '214924'}","{'184360:Rhace2 As Decoy Factor ', '184360:Ang-(1-7) Analogues ', '184360:Combined Therapeutic Potential Targeting Raas And Dpp4', '184360:Abstract', '184360:Aceis And Arbs ', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ', '184360:Cardiovascular Effects Of Ace-Ang Ii-At1R Axis Upregulation And Ang-(1-7)/Mas Axis Dowregulation '}",http://purl.obolibrary.org/obo/NCIT_C248,"Angiotensin-1 (10 aa, ~1 kDa) is encoded by the human AGT gene. This protein is involved in the response to lowered renal blood pressure.",Hormone,"[('http://purl.obolibrary.org/obo/NCIT_C136722', 'AGT Gene Product'), ('http://purl.obolibrary.org/obo/NCIT_C1746', 'Peptide Hormone'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,PROTEIN,PROTEIN
angiotensin-2,"['angiotensin ii', 'angiotensin ii', 'angiotensin ii']","['PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN', 'PROTEIN']","{'214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury ::: Covid-19 Pathogenesis:11', '179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ::: Special Aspects Of Pathophysiology Of Diabetes And Relationship Of Anti-Diabetic Drugs In The Context Of Covid-19:14'}","{'179426', '214924'}","{'179426:Role Of Dpp4 Enzyme And Dpp4 Inhibitors ', '214924:The Protective Role Of Angiotensin-Converting Enzyme 2 Against Lung Injury '}",http://purl.obolibrary.org/obo/NCIT_C107562,"Angiotensin-2 (8 aa, ~1 kDa) is encoded by the human AGT gene. This protein is involved in vasoconstriction, heart rate and renal absorption of water and sodium.","Amino Acid, Peptide, or Protein","[('http://purl.obolibrary.org/obo/NCIT_C136722', 'AGT Gene Product'), ('http://purl.obolibrary.org/obo/NCIT_C1746', 'Peptide Hormone'), ('http://purl.obolibrary.org/obo/NCIT_C20027', 'Protein, Organized by Function'), ('http://purl.obolibrary.org/obo/NCIT_C17021', 'Protein'), ('http://purl.obolibrary.org/obo/NCIT_C26548', 'Gene Product'), ('http://www.w3.org/2002/07/owl#Thing', '')]",2,PROTEIN,PROTEIN
